"size","dtype","kurtx","skewx","mean_AB_exp","mean_AB_Weibull","var_AB_exp","var_AB_Weibull","tm_AB_exp","tm_AB_Weibull","fm_AB_exp","fm_AB_Weibull","mean_SE_exp","mean_SE_Weibull","var_SE_exp","var_SE_Weibull","tm_SE_exp","tm_SE_Weibull","fm_SE_exp","fm_SE_Weibull"
5400,1,8.60000000000003,1.93893643553387,12,11,12,1,12,11,3,3,7,7,7,3,11,11,11,7
5400,1,8.80000000000001,1.96973844439194,3,11,12,1,12,11,3,3,7,7,7,3,11,11,11,7
5400,1,9,2,5,11,3,1,11,11,7,3,7,7,7,3,11,11,11,7
5400,1,9.19999999999997,2.02974661062705,3,11,2,1,2,11,3,3,7,7,7,3,11,5,11,7
5400,1,9.39999999999998,2.05900185083196,3,11,10,1,8,3,3,7,7,7,7,3,11,5,11,7
5400,1,9.59999999999997,2.08778756086947,3,11,10,1,4,11,3,7,7,7,7,3,11,5,11,7
5400,1,9.8,2.11612402036781,2,1,10,1,12,1,3,7,7,7,7,3,11,5,11,7
5400,1,9.99999999999999,2.14403010022796,2,1,8,11,12,3,3,3,7,7,7,3,11,11,11,7
5400,1,10.2,2.17152339599684,2,3,12,9,12,3,3,3,7,7,7,3,11,5,11,7
5400,1,10.4,2.19862034540709,2,3,12,9,12,3,3,3,7,7,7,3,11,11,11,7
5400,1,10.6,2.22533633232504,2,3,12,5,12,3,3,3,7,7,7,3,11,11,11,7
5400,1,10.8,2.25168577898244,2,3,12,5,12,3,3,3,7,7,7,3,11,11,11,7
5400,1,11,2.27768222806872,2,3,12,5,4,1,3,3,7,7,7,3,11,11,11,7
5400,1,11.1999999999999,2.30333841601573,2,3,12,3,4,1,3,3,7,7,7,7,11,11,11,7
5400,1,11.4,2.32866633860425,2,5,12,3,4,5,3,7,7,7,7,7,11,11,11,7
5400,1,11.6,2.35367730985473,2,7,12,5,4,5,3,7,7,7,7,7,11,11,11,7
5400,1,11.8,2.37838201502463,2,9,12,7,4,11,3,7,7,7,7,7,11,11,11,7
5400,1,12,2.40279055841865,2,7,12,5,4,11,3,7,7,7,7,3,11,11,11,7
5400,1,12.2,2.4269125066197,2,7,12,9,4,11,3,11,7,7,7,3,11,11,11,7
5400,1,12.4,2.45075692766633,2,1,12,9,4,11,3,11,7,7,7,3,11,11,11,7
5400,1,12.6,2.47433242663209,2,1,12,9,12,11,3,11,7,7,7,3,11,11,11,7
5400,1,12.8,2.49764717800315,2,1,12,9,12,11,3,11,7,7,7,3,11,11,11,7
5400,1,13,2.52070895519976,2,1,12,9,12,11,3,11,7,7,7,3,11,11,11,7
5400,1,13.2,2.54352515754396,2,9,12,9,12,11,3,11,7,7,7,3,11,11,11,7
5400,1,13.4,2.5661028349387,2,5,12,9,12,11,3,11,7,7,7,3,11,11,11,7
5400,1,13.6,2.58844871049157,2,5,12,5,12,5,3,11,7,7,7,3,11,11,11,7
5400,1,13.8,2.61056920128876,2,5,12,5,12,5,3,11,7,7,7,3,11,11,11,7
5400,1,14,2.632470437501,2,1,12,11,12,7,3,5,7,7,7,3,11,11,11,7
5400,1,14.2,2.65415827998245,2,1,12,11,12,1,3,5,7,7,7,3,11,9,11,7
